127.0.0.1 - - [28/Feb/2024:14:30:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:30:21 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:30:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:39 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:42 +0900] "GET /JSP02/Ex01_creatInput.jsp?num=3 HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:49 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:39:52 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:19 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:22 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:49 +0900] "GET /JSP02/Ex01_createInput.jsp HTTP/1.1" 500 2638
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:56 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:40:58 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 500 2638
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:28 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:30 +0900] "GET /JSP02/Ex01_createInput.jsp?num= HTTP/1.1" 500 2653
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:41:33 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:43:23 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:43:26 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:44:29 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:44:32 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:44:42 +0900] "GET /JSP02/Ex01_createInput.jsp?num=10 HTTP/1.1" 200 606
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:01 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:04 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:56 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:46:59 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:42 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:48:44 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:49:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:49:05 +0900] "GET /JSP02/Ex01_createInput.jsp?num=3 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:51 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:51:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:52:46 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:14:53:02 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:17:16 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:17:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:17:19 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:49 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:19:52 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:29:55 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:29:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:29:57 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 500 2825
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:17 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:20 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:24 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=dd&menu=d&menu=dd&menu=ddd HTTP/1.1" 500 2586
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:49 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:31:52 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=d&menu=dd&menu=ddd&menu=dddd HTTP/1.1" 500 2586
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:32:50 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:32:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:32:52 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 500 2684
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:32:55 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:32:59 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=d&menu=ddd&menu=dddd&menu=ddddd HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:37:46 +0900] "GET /JSP02/Ex01_randomWinner.jsp HTTP/1.1" 500 2481
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:37:52 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:37:54 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:37:57 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=&menu= HTTP/1.1" 500 2473
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:38:05 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:38:26 +0900] "GET /JSP02/Ex01_randomWinner.jsp HTTP/1.1" 500 2471
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:38:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:38:40 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:38:53 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 500 2463
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:39:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:39:16 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:39:26 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 500 2463
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:40:04 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:40:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:40:05 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:40:13 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 500 2462
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:42:06 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:42:16 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:42:20 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:42:23 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:42:32 +0900] "GET /JSP02/Ex01_randomWinner.jsp?subject=%EB%A9%94%EB%89%B4&menu=%EC%A7%9C%EC%9E%A5&menu=%EC%A7%AC%EB%BD%95&menu=%ED%83%95%EC%88%98%EC%9C%A1 HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:44:46 +0900] "GET /JSP02/Ex01_createInput.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2024:15:44:49 +0900] "POST /JSP02/Ex01_createInput.jsp HTTP/1.1" 200 852
